Game,Platform,Score,Genre
Marvel: Ulti,Wii,5.8,"Action, RPG"
Bubble Bobbl,Xbox 360,7.9,Puzzle
Command &,Xbox 360,7.5,Strategy
Champions O,PC,7.6,RPG
Dirt 2,Wii,4,Racing
Spaceball: Re,Wii,5.9,Puzzle
Red Faction:,PC,8,Shooter
Squareball ,iPhone,9,Platformer
Crash 'N' The,Wii,8,Sports
Zuma's Reve,PC,8,Puzzle
NHL 2K10,PlayStation 3,6.7,Sports
Raiden IV,Xbox 360,6,Shooter
Marvel: Ulti,Xbox 360,7.7,"Action, RPG"
Scribblenauts,Nintendo DS,8.7,"Puzzle, Action"
Marvel: Ulti,PlayStation 3,7.7,"Action, RPG"
Gran Turismo,PlayStation P,6.8,Racing
Majesty 2: T,PC,7.5,Strategy
GeoDefense,iPhone,8.2,Strategy
NHL 2K10,Xbox 360,6.7,Sports
Crash 'N' The,NES,8,Sports
NHL 10,PlayStation 3,8.7,Sports
Wet,PlayStation 3,6.6,Action
Sonic &amp;,Xbox 360,7.5,Platformer
NHL 10,Xbox 360,8.7,Sports
Dexter: The,iPhone,8,Action
Wet,Xbox 360,6.6,Action
Naruto Shipp,Nintendo DS,7.5,Fighting
Batman: Arkh,PC,9.3,Action
IL-2: Sturmov,PlayStation 3,8.6,"Flight, Action"
Teenage Mut,PlayStation 3,5.9,"Fighting, Action"
Modern Com,iPhone,8.3,Shooter
Need for Spe,Xbox 360,9,Racing
Need for Spe,PlayStation 3,9,Racing
Blades of Fur,iPhone,7.5,Fighting
Need for Spe,PC,9,Racing
Mario &amp;,Nintendo DS,9.5,"Action, RPG"
Resident Evil,PC,9.3,Action
Darkest of D,Xbox 360,3.6,Shooter
Darkest of D,PC,4,Shooter
Disgaea 2: D,PlayStation P,8.6,"Strategy, RPG"
Dirt 2,Nintendo DS,8,Racing
Contra ReBirt,Wii,8.2,Shooter
Madden NFL,iPhone,8,Sports
LittleBigPlan,PlayStation 3,9.5,Platformer
Super Star W,Wii,8.5,Action
Dirt 2,PlayStation P,4.2,Racing
The Beatles:,Xbox 360,8,Music
Out of the Pa,PC,8,"Sports, Simulation"
The Beatles:,PlayStation 3,8,Music
The Beatles:,Wii,8,Music
Super Star W,Super NES,8.5,Action
Section 8,Xbox 360,7.5,Shooter
Section 8,PC,8,Shooter
The Beatles:,PlayStation 3,9,Music
The Beatles:,Wii,9,Music
The Beatles:,Xbox 360,9,Music
Active Life: E,Wii,5,"Sports, Compilation"
Mana Khemi,PlayStation 2,8,RPG
Muramasa: T,Wii,8.9,Simulation
Fate/Unlimit,PlayStation P,8.2,Fighting
Raven Squad,PC,2,Shooter
Warriors Oro,PlayStation P,5.2,Action
Dirt 2,Xbox 360,8.4,Racing
Raven Squad,Xbox 360,2,Action
Dirt 2,PlayStation 3,8.4,Racing
Yo-Ho Kabla,Xbox 360,5.3,Action
Mr. Driller,iPhone,6.5,Puzzle
The Bigs 2,PlayStation 2,5.8,"Sports, Action"
Brain Age Ex,Nintendo DSi,8,"Educational, Puzzle"
Pop+ Solo,Nintendo DSi,7,"Puzzle, Action"
IL-2: Sturmov,Xbox 360,8.6,Flight
Guitar Hero 5,PlayStation 3,8.9,Music
Defense Grid,Xbox 360,8.9,"Strategy, RPG"
Guitar Hero 5,Xbox 360,8.9,Music
Guitar Hero 5,Wii,9.3,Music
Phantasy Star,Wii,8.5,RPG
Tales of Mon,Wii,6.9,Adventure
Phantasy Star,Master Syste,8.5,RPG
Soulcalibur:,PlayStation P,8,Fighting
Spy Bot Chro,iPhone,7,Platformer
Invincible Tig,PlayStation 3,6.6,"Fighting, Action"
Cursed Moun,Wii,7.5,Adventure
Watchmen: T,PC,5,Action
NBA 2K10: Dr,Xbox 360,7.5,"Sports, Simulation"
iMech,iPhone,8.5,Shooter
Watchmen: T,Xbox 360,5,Action
Spectrobes:,Wii,8,"Action, Adventure"
Invincible Tig,Xbox 360,6.6,"Fighting, Action"
Watchmen: T,PlayStation 3,5,Action
Tales of Mon,PC,7.9,Adventure
Batman: Arkh,PlayStation 3,9.3,Action
Batman: Arkh,Xbox 360,9.3,Action
Mr. Driller W,Wii,6.1,Puzzle
Mass Effect:,Xbox 360,5,RPG
WarpForce,PC,4,RPG
Super Star W,Wii,7.5,Action
Super Star W,Super NES,7.5,Action
Professor Lay,Nintendo DS,8.5,Adventure
Gangstar: W,iPhone,7.9,Action
Rock Band Tr,Wii,5,Music
Rock Band Tr,PlayStation 3,6.5,Music
Smash Cars,PlayStation 3,7,Racing
Metroid Prim,Wii,9.5,Compilation
Rock Band Tr,Xbox 360,6.5,Music
Batman: Arkh,PlayStation 3,9.3,Action
Batman: Arkh,Xbox 360,9.3,Action
Rock Band Tr,PlayStation 2,5,Music
Osmos ,PC,8.5,Puzzle
Wolfenstein,PC,7.3,Shooter
Wallace &a,PC,7.2,Adventure
Pro Cycling,Xbox 360,5.1,Racing
3D Good vs.,iPhone,6.8,Board
Real Heroes:,Wii,7.7,Simulation
Wolfenstein,PlayStation 3,7,Shooter
Bust-A-Move,iPhone,7.1,Platformer
The Revenge,Wii,8,Action
Wolfenstein,Xbox 360,7.3,Shooter
Fossil Fighter,Nintendo DS,5.9,Battle
The Revenge,Genesis,8,Action
Shadow Com,Xbox 360,9.4,Shooter
Electric Box,iPhone,7.6,Puzzle
PictureBook,Wii,6.1,Adventure
Spider: The S,iPhone,8.9,Platformer
Hannah Mon,PlayStation P,5.1,Music
Battle Poker,Wii,5.6,"Card, Battle"
Madden NFL,PlayStation 2,7.3,Sports
Dissidia Final,PlayStation P,8.9,"Action, RPG"
Sudoku Stude,Nintendo DSi,7,Puzzle
Flipnote Stud,Nintendo DSi,9,Productivity
Crystal Defe,PlayStation 3,7.5,Strategy
Hearts of Iro,PC,8.5,Strategy
Buzz! Junior:,PlayStation 3,4.5,Action
Madden NFL,PlayStation P,7.9,Sports
Myst,PlayStation P,7.5,Adventure
Brave: A War,Wii,4.3,"Action, Adventure"
Wolfenstein,iPhone,8.5,RPG
Brain Age Ex,Nintendo DSi,7.9,"Educational, Puzzle"
HB Arcade C,Wii,2.8,Card
Madden NFL,Wii,8.2,Sports
Super Star W,Wii,8,Action
Brave: A War,Xbox 360,4.3,"Action, Adventure"
The Three M,Wii,5.1,Platformer
Super Star W,Super NES,8,Action
Sid Meier's C,iPhone,6.5,Strategy
Duke Nukem,iPhone,7.9,Shooter
Rock n' Roll,Wii,7.3,"Sports, Action"
NyxQuest: Ki,Wii,8.5,Platformer
Asphalt 4 Elit,Nintendo DSi,7.8,Racing
Trials HD,Xbox 360,8.3,Racing
Madden NFL,PlayStation 3,8.9,Sports
Daisy Fuente,Wii,4.5,Simulation
NFL 2010,iPhone,7.5,Sports
Madden NFL,Xbox 360,8.9,Sports
Trine,PC,8.2,Platformer
G.I. Joe: The,PlayStation P,5,Action
Pac-Man Re,iPhone,7.5,Action
Teenage Mut,Xbox 360,5.9,"Fighting, Action"
Overturn ,Wii,5.7,Action
Space Bust-A,Nintendo DS,7.8,Puzzle
SingStar: Que,PlayStation 3,5.5,Music
G.I. Joe: The,Nintendo DS,7.1,Action
G.I. Joe: The,Wii,5.8,Action
Moonlights,iPhone,8,Puzzle
G.I. Joe: The,Xbox 360,5.8,Action
G.I. Joe: The,PlayStation 2,5.8,Action
Fallout 3 -- M,Xbox 360,7,"Action, RPG"
Sexy Poker,Wii,5.2,"Adult, Card"
Fallout 3 -- M,PC,7,"Action, RPG"
Strikers 1945,PlayStation P,4.8,Shooter
G.I. Joe: The,PlayStation 3,5.8,Action
Tecmo Bowl,Wii,6.5,Sports
Tecmo Bowl,Arcade,6.5,Sports
Fat Princess,PlayStation 3,9,Action
NCAA Footba,PlayStation 2,7.8,Sports
Reign of Swo,iPhone,8.5,Strategy
Wild Wild Tr,iPhone,8,"Puzzle, Action"
WipEout HD,PlayStation 3,9.2,Racing
SimEarth: Th,TurboGrafx-1,4,Simulation
SimEarth: Th,Wii,4,Simulation
East India Co,PC,7.7,Strategy
Bookworm A,PC,8.3,Adventure
Minigore,iPhone,7,Shooter
Crazy Monke,iPhone,7.1,Platformer
G-Force,PlayStation 2,7.3,Action
The King of F,Xbox 360,6,Fighting
The King of F,PlayStation 3,6,Fighting
Space Invade,iPhone,8.7,Shooter
Bionic Comm,PC,7.5,Action
Marvel vs. C,Xbox 360,8.7,Fighting
G-Force,iPhone,7.5,Action
Brain Challen,Nintendo DSi,7.2,"Educational, Puzzle"
Fantasy Zone,Wii,8,Shooter
Touch K.O.,iPhone,7.5,Sports
G-Force,PlayStation P,7.4,Action
NCAA Footba,PlayStation P,7,Sports
Marvel vs. C,PlayStation 3,9,Fighting
Fantasy Zone,Master Syste,8,Shooter
G-Force,Nintendo DS,7,Action
Ant Nation,Wii,5.4,Strategy
Tales of Mon,Wii,7,Adventure
Secret Comm,Wii,6,"Action, Adventure"
Secret Comm,Master Syste,6,Other
Resident Evil,iPhone,7,Action
Watchmen: T,PlayStation 3,5,Compilation
Watchmen: T,Xbox 360,5,Action
California Ga,Wii,5,Sports
Pulseman,Wii,8,Action
Gears of War,Xbox 360,7.8,Shooter
The Secret of,iPhone,6.5,Adventure
Pulseman,Genesis,8,Action
Power Pros T,iPhone,5,"Sports, Action"
Final Fantasy,Wii,8.1,Strategy
G-Force,PlayStation 3,7.3,Action
Art Style: Bas,Nintendo DSi,8,Puzzle
Namco Muse,PlayStation 3,7.2,"Action, Compilation"
Blimp: The Fl,iPhone,8,"Flight, Action"
Art Style: Zen,Nintendo DSi,6.5,Puzzle
G-Force,Xbox 360,7.3,Action
Shatter,PlayStation 3,9,Puzzle
G-Force,Wii,7.3,Action
Little King's S,Wii,8.5,Simulation
Battlefield H,PC,8,Shooter
PDC World C,Nintendo DS,2.5,Sports
Up,Wii,7,Adventure
Nancy Drew:,PC,7.3,Adventure
PDC World C,PlayStation P,2,Sports
Streets of Ra,iPhone,4,Fighting
Puzzlings,iPhone,7.5,Puzzle
Unbound Sag,PlayStation P,5.8,Action
The Bigs 2,PlayStation P,6,"Sports, Action"
PDC World C,Wii,2,Sports
'Splosion Ma,Xbox 360,9,Action
PDC World C,PlayStation 2,1,Sports
Incoming!,Wii,4.1,Action
Home Run B,iPhone,8,Sports
What Did I D,PlayStation P,7.7,Simulation
Wii Sports Re,Wii,7.7,Sports
The Secret of,PC,8.7,Adventure
Street Fighter,PC,8.9,Fighting
Dawn of Disc,PC,8.2,Strategy
The Bigs 2,Wii,6.3,"Sports, Action"
Age of Pirate,PC,5.7,"Action, Adventure"
Droplitz,PC,7.5,Puzzle
The Secret of,Xbox 360,8.7,Adventure
NCAA Footba,Xbox 360,8.3,Sports
NCAA Footba,PlayStation 3,8.3,Sports
Worms,iPhone,5.5,Strategy
Yu-Gi-Oh! 5D,Wii,7.5,"Card, Battle"
Madballs in,Xbox 360,7.5,Shooter
Black Sigil: Bl,Nintendo DS,5.5,RPG
Heracles: Ch,Wii,6.5,Racing
Jungle Bloxx,iPhone,7.5,Puzzle
F.A.S.T.,iPhone,8.5,"Flight, Simulation"
Ice Age: Daw,PlayStation 2,6.5,Platformer
Ice Age: Daw,Wii,6.5,Platformer
Mega Man St,Nintendo DS,6,RPG
Fuel,PC,5.1,Racing
Rise of Flight,PC,7.9,"Flight, Simulation"
Ice Age: Daw,PlayStation 3,6.5,Platformer
Jagged Allian,Nintendo DS,4.6,"Strategy, RPG"
Reel Fishing,Wii,4.4,Hunting
Ice Age: Daw,Xbox 360,6.5,Platformer
Ice Age: Daw,PC,6.5,Platformer
Mega Man St,Nintendo DS,6,RPG
Battlefield 1,Xbox 360,8.5,Shooter
The Bigs 2,Xbox 360,8,"Sports, Action"
Jewel Quest,iPhone,7.8,Puzzle
Dawn of Disc,Wii,8,Strategy
Battlefield 1,PlayStation 3,8.5,Shooter
The Bigs 2,PlayStation 3,8,"Sports, Action"
Infernal: Hell,Xbox 360,4,Action
Resident Evil,Wii,8,"Action, Adventure"
Dawn of Disc,Nintendo DS,7.3,Strategy
Tales of Mon,PC,7.9,Adventure
Starhogs,iPhone,8,Action
The Punisher,PlayStation 3,4.2,Action
Bust-A-Move,Wii,7,Puzzle
Bit.Trip Core,Wii,7.8,Action
America's Ar,PC,8.4,Shooter
Harry Potter,PC,7.5,Action
Treasure Wo,Nintendo DS,7.5,Adventure
Steambot Chr,PlayStation P,6,"Action, Adventure"
ArmA II ,PC,7.8,Shooter
Sudoku Mast,Nintendo DSi,7.5,Puzzle
Call of Juarez,PlayStation 3,7.5,Shooter
History's Gre,Nintendo DS,5,Strategy
Worms 2: Ar,Xbox 360,8.5,Strategy
The King of F,Xbox 360,7.6,Fighting
Pirates vs. Ni,Wii,4.6,"Sports, Action"
Call of Juarez,Xbox 360,7.7,Shooter
Harry Potter,Xbox 360,7.7,Action
Harry Potter,Nintendo DS,4.3,Action
Call of Juarez,PC,7.7,Shooter
Harry Potter,PlayStation 3,7.7,Action
Silver Star Re,Wii,5,Action
Water Warfa,Wii,6.9,Shooter
Harry Potter,Wii,7.7,Action
Shin Megami,Nintendo DS,8.7,RPG
Rolando 2: T,iPhone,9,Puzzle
Harry Potter,PlayStation P,4.3,Action
Doom Resurr,iPhone,8,Shooter
Genghis Kha,Wii,6,Strategy
Hasbro Famil,Xbox 360,7.5,Board
BlazBlue: Cal,PlayStation 3,9.4,Fighting
Archon,iPhone,7.5,Strategy
Smash Ball,PC,7.9,Action
BlazBlue: Cal,Xbox 360,9.4,Fighting
Overlord: Mi,Nintendo DS,6.1,Puzzle
Transformers,PlayStation P,2.8,Action
BlazBlue: Cal,PlayStation 3,9.4,Fighting
Fatal Fury: M,Xbox 360,7.8,Fighting
BlazBlue: Cal,Xbox 360,9.4,Fighting
Phantasy Sta,Xbox 360,7,RPG
Overlord II,PC,6.3,Adventure
Crazy Pengui,iPhone,7.9,"Puzzle, Action"
Zooloretto,iPhone,8,Strategy
Blueberry Ga,PC,6,Other
Fallout 3 -- P,PC,8.5,"Action, RPG"
Space Harrier,Arcade,8,Shooter
Transformers,Nintendo DS,7,Action
"Flower, Sun,",Nintendo DS,5.5,Adventure
Overlord II,PlayStation 3,6,Adventure
Fallout 3 -- P,Xbox 360,8.5,"Action, RPG"
MySims Raci,Wii,7,Racing
Yu-Gi-Oh! 5D,Nintendo DS,8,"Card, Battle"
Dynasty War,Xbox 360,6.7,Strategy
Overlord II,Xbox 360,6,Adventure
Rolling Stone,Wii,3,Music
Transformers,Nintendo DS,7,Action
Transformers,PlayStation 2,4.2,Action
Dynasty War,PlayStation 3,6.8,Strategy
Castle of Ma,iPhone,7.2,Action
Space Harrier,Wii,8,Shooter
Transformers,Wii,4.2,Action
Up,PlayStation 2,5.8,Adventure
Transformers,PlayStation 3,6,Action
Up,Xbox 360,7,Adventure
Transformers,PC,6,Action
Pangya: Fant,PlayStation P,8,Sports
Transformers,Xbox 360,6,Action
Mass Effect,iPhone,5,Shooter
Up,PlayStation 3,7,Adventure
Boulder Dash,Wii,7,"Puzzle, Action"
Spore: Galact,PC,7.7,Simulation
Overlord: Dar,Wii,7.5,Adventure
Fight Night R,Xbox 360,8.8,Sports
Fight Night R,PlayStation 3,8.8,Sports
Droplitz,Xbox 360,7.5,Puzzle
American Po,Nintendo DSi,3.8,Music
ClayFighter [,Wii,4,Fighting
Art Style: Box,Nintendo DSi,7.8,"Puzzle, Action"
Family Mini,Wii,3.5,Sports
NEVES Plus,Wii,8,Puzzle
Yosumin!,PC,7.1,Puzzle
The Conduit,Wii,8.6,Shooter
Wallace &a,PC,7.1,Adventure
Ghostbusters,Nintendo DS,6.5,Action
Magic: The G,Xbox 360,7.8,"Card, Battle"
Droplitz,PlayStation 3,7.5,Puzzle
ClayFighter,Genesis,4,Fighting
Railworks,PC,7,Simulation
Monster Hun,PlayStation P,8,Adventure
Rock Band Tr,Xbox 360,6.5,Music
Tiger Woods,PlayStation 2,5,Sports
Rock Band Tr,Wii,5,Music
Mad Dog Mc,Wii,4.5,Compilation
Secret Agent,PlayStation 2,6,Action
LEGO Battles,Nintendo DS,7,Strategy
Jake Hunter,Nintendo DS,7.9,Adventure
Golden Axe,iPhone,4,Action
Rock Band Tr,PlayStation 2,5,Music
Rock Band Tr,PlayStation 3,6.5,Music
Musaic Box,PC,8,Other
Desktop Tow,Nintendo DS,4,Strategy
Virtua Tennis,Wii,7.8,Sports
3D Rollercoa,iPhone,8,Puzzle
Guitar Hero S,PlayStation 2,6.3,"Music, Compilation"
Puzzle City,Nintendo DS,4.8,Puzzle
Still Life 2,PC,7.5,Adventure
Guitar Hero S,Wii,7,"Music, Compilation"
Tiger Woods,PlayStation P,8.1,Sports
Guitar Hero S,Xbox 360,7,"Music, Compilation"
Sam &amp;,Xbox 360,6.9,"Adventure, Compilation"
Guitar Hero S,PlayStation 3,7,"Music, Compilation"
Elite Forces:,Nintendo DS,5.2,Strategy
Final Fantasy,Wii,8,RPG
Ghostbusters,iPhone,4.5,Action
The Humans,PC,6.5,Platformer
Rocket Riot,Xbox 360,8.5,Action
Ghostbusters,PlayStation 2,7.1,Action
California Go,iPhone,8,Puzzle
Light of Altair,PC,7,Simulation
Guitar Hero,Nintendo DS,7.8,Music
Let's Catch,Wii,6.5,Party
Mario vs. Do,Nintendo DSi,8.6,Action
Defender Chr,iPhone,7.2,Strategy
Alien Shooter,PC,7.5,"Action, RPG"
Eduardo the,Wii,5.7,Platformer
Rainbow Isla,Wii,6,"Action, Adventure"
Ghostbusters,PC,7.6,Action
Naruto Shipp,Nintendo DS,5.5,"Action, Adventure"
Class of Hero,PlayStation P,5.1,RPG
Mario Clock,Nintendo DSi,3,Productivity
Mario Calcul,Nintendo DSi,6,Productivity
CellFactor: P,PlayStation 3,8,Shooter
Damnation,PC,2.5,Shooter
DJ Mix Tour,iPhone,5,Music
Knights Onru,iPhone,8.5,Strategy
Wolfenstein,PlayStation 3,8,Shooter
Delta Force:,PC,4.8,Shooter
Steal Princes,Nintendo DS,6.7,"Puzzle, Adventure"
Sherlock Hol,PC,8,Adventure
Virtua Tennis,Xbox 360,6,Sports
Ghostbusters,Wii,7.8,Action
CellFactor: P,Xbox 360,8,Shooter
Trash Panic,PlayStation 3,7,Puzzle
Puzzle Kingd,Wii,7,Puzzle
Virtua Tennis,PlayStation 3,6,Sports
Mighty Flip C,Nintendo DSi,8.5,Action
Indiana Jone,Wii,5,Adventure
Alien Shooter,PC,7,Shooter
Gunstar Hero,PlayStation 3,8,Action
Shinobi [198,Xbox 360,4,Action
Firemint Real,iPhone,9,Racing
Bomberman,PlayStation 3,8,Action
Heavy Weap,PlayStation 3,7.3,Action
Sonic the He,Xbox 360,8,Platformer
The Sims 3 (,PC,8.9,Simulation
Gunstar Hero,Xbox 360,8,Action
Altered Beast,Xbox 360,5.3,Action
Comix Zone,Xbox 360,6,Action
Prototype,PC,7.5,Action
Prototype ,PlayStation 3,7.5,Action
Tiger Woods,PlayStation 3,8.3,Sports
Tiger Woods,Wii,9,Sports
Wolfenstein,Xbox 360,8,Shooter
Tiger Woods,Xbox 360,8.3,Sports
Prototype,Xbox 360,7.5,Action
Bubble Bobbl,Wii,8,Puzzle
Photo Clock,Nintendo DSi,3,Productivity
Tiger Woods,Wii,9,Sports
Restaurant E,PC,6.9,Simulation
The Legenda,Nintendo DS,8.9,Platformer
Texas Hold ',Wii,5.1,Card
Ghostbusters,PlayStation 3,8,Action
Rollercoaster,iPhone,6.5,Action
Grand Slam T,Wii,8.5,Sports
Star Defense,iPhone,9,Strategy
Fish'em All,Wii,6,Hunting
Terminator S,PC,6.3,Shooter
Ghostbusters,Xbox 360,8,Action
Prey Invasion,iPhone,8,Shooter
Fuel,Xbox 360,5.1,"Racing, Action"
Fuel,PlayStation 3,5.1,Racing
Knights in th,Nintendo DS,8.8,"Strategy, RPG"
The Sims 3,iPhone,8.5,Simulation
The Sims 3,PC,8.9,Simulation
Damnation ,PlayStation 3,2.5,Shooter
Hasbro Famil,Xbox 360,7,Board
Cross Edge,PlayStation 3,3.5,RPG
Damnation,Xbox 360,2.5,Shooter
Space Ace,iPhone,8,Action
Red Faction:,Xbox 360,8,Shooter
Red Faction:,PlayStation 3,8,Shooter
iBomber,iPhone,7.5,Action
Yosumin Live,Xbox 360,7.1,Puzzle
Crimson Gem,PlayStation P,8.4,RPG
Trixel,iPhone,7.5,Puzzle
Wallace &a,Xbox 360,8,Adventure
Adventure Isl,Wii,7,Platformer
Helldorado,PC,5.7,Strategy
EA Sports Act,Wii,7.8,Sports
Zenonia,iPhone,9,RPG
Personal Trai,Nintendo DS,7,Productivity
Guilty Gear X,Wii,7,Fighting
Tunnel Rats (,PC,3.8,Shooter
Rock Band U,PlayStation P,8.2,Music
Toki Tori,iPhone,8.5,"Puzzle, Adventure"
Left 4 Dead (,PC,9,Shooter
Kaloki Adven,iPhone,8,Strategy
Sonic the He,iPhone,6,Platformer
Blazing Birds,Xbox 360,5.1,"Sports, Action"
NecroVisioN ,PC,6.9,Shooter
DT Carnage,PlayStation P,4,Racing
Texas Cheat,PlayStation 3,6.9,Card
Gel: Set &am,Xbox 360,7.6,Puzzle
Killing Floor,PC,7.5,Shooter
Night at the,Nintendo DS,6.2,Adventure
Deer Hunter,iPhone,8,Hunting
Galaxy Force,Wii,4,Shooter
Boom Blox B,Wii,8.5,"Puzzle, Action"
Shin Megami,PlayStation 2,7.5,RPG
Terminator S,Xbox 360,6.3,Shooter
Battlestation,PC,7.7,"Action, Simulation"
Galaxy Force,Genesis,4,Action
Puzzle Kingd,Nintendo DS,6.3,Puzzle
UFC Undispu,PlayStation 3,7.6,"Fighting, Simulation"
Magician's Q,Nintendo DS,7.5,Adventure
Terminator S,PlayStation 3,6.3,Shooter
Battlestation,Xbox 360,7.7,"Action, Simulation"
UFC Undispu,Xbox 360,7.6,Fighting
Silver Star Ch,Wii,5.5,Board
Art Style: Pict,Nintendo DSi,8.5,Puzzle
Boulder Dash,iPhone,7.4,"Puzzle, Action"
Bionic Comm,Xbox 360,8,Action
Bionic Comm,PlayStation 3,8,Action
Crystal Defe,Wii,5.8,Strategy
The Legend o,Wii,9.5,"Action, Adventure"
Left 4 Dead (,Xbox 360,9,Shooter
Zen Pinball,PlayStation 3,8.1,Pinball
Punch-Out!!,Wii,8.8,Sports
Raiden Fight,Xbox 360,7.3,Shooter
Swords &am,Wii,8.7,Strategy
Night at the,Xbox 360,7.5,Adventure
DCS: Black S,PC,8,"Flight, Simulation"
Star Trek: D-,Xbox 360,6.1,Shooter
Crystal Defe,iPhone,8,RPG
Sacred 2: Fall,PlayStation 3,6.5,RPG
Night at the,Wii,7.5,Adventure
Texas Cheat,Xbox 360,6.9,Card
Ocean Comm,Wii,2,Shooter
Wallace &a,PC,7,Adventure
Master of Illu,Nintendo DSi,2.5,Simulation
Fable II: See t,Xbox 360,6,"Action, RPG"
Peggle,iPhone,9,Puzzle
Infamous,PlayStation 3,9.2,Action
Leisure Suit L,PlayStation 3,2,Adventure
Offshore Tyc,Wii,4.5,Strategy
Resident Evil,iPhone,6.8,Action
Family Pirate,Wii,4.5,Party
Myst,iPhone,8.5,Adventure
Snake Galaxy,iPhone,7.5,Puzzle
Real Soccer 2,Nintendo DSi,6.8,Sports
Puzzle Quest:,PlayStation 3,8.5,Puzzle
Star Trek,iPhone,5.9,Action
Dig Dug Rem,iPhone,7.3,Action
Terminator S,iPhone,7,Action
Neverwinter,PC,7,RPG
Velvet Assas,PC,5,Action
X-Men Origin,Nintendo DS,5,Action
Top Gun,iPhone,8.2,Action
Arkanoid Live,Xbox 360,7.4,"Puzzle, Action"
New Play Co,Wii,8.4,Strategy
Theatre of W,PC,6.8,Strategy
Free Realms,PC,8.8,RPG
Fallout 3 -- B,Xbox 360,8.5,"Action, RPG"
Need for Spe,iPhone,7.9,Racing
Fallout 3 -- B,PC,8.5,"Action, RPG"
Sacred 2: Fall,Xbox 360,6.5,RPG
The Chronicl,PC,7.5,RPG
Plants vs. Zo,PC,9,Strategy
Klonoa,Wii,8,Platformer
MLB Dugout,PC,7.4,Sports
Tower Toppl,Commodore,6,None
Pyramid Blox,iPhone,7.5,Puzzle
Tower Toppl,Wii,6,Action
Dynasty War,PlayStation P,7,Action
Zombie Wran,Xbox 360,5,Action
X-Men Origin,PlayStation P,5.1,Action
Stalin vs. Ma,PC,2,Strategy
X-Men Origin,PlayStation 2,4.5,Action
Animal Cross,Nintendo DSi,3,Productivity
X-Men Origin,Wii,4.8,Action
Animal Cross,Nintendo DSi,6,Productivity
UniWar,iPhone,8,Strategy
Penguins &a,Wii,5.5,Adventure
Smashing To,PC,3.5,"Racing, Action"
Space Invade,Xbox 360,7.9,Shooter
Cops &amp;,iPhone,6,Action
Siberian Strik,iPhone,7.9,Shooter
Tiger Woods,iPhone,8.5,Sports
Hasbro Famil,Xbox 360,8,Board
Velvet Assas,Xbox 360,5,Action
X-Men Origin,Xbox 360,7.8,Action
Virtual-On: O,Xbox 360,7.5,Action
X-Men Origin,PC,7.8,Action
Pandemoniu,iPhone,5.5,Platformer
X-Men Origin,PlayStation 3,7.8,Action
Nobunaga's,Super NES,7,Strategy
Hot Dog Dow,iPhone,5.7,Action
Banjo-Tooie,Xbox 360,8.5,Action
Flick NBA Ba,iPhone,7.8,Sports
Trivial Pursui,iPhone,7.7,Board
Nobunaga's,Wii,7,Strategy
Paper Airplan,Nintendo DSi,5,Action
Patapon 2,PlayStation P,9.5,Action
Clubhouse G,Nintendo DSi,6,Card
Cocoto Platfo,Wii,6,Platformer
Kamikaze Ro,iPhone,7,Action
Cogs,PC,7.3,Puzzle
Air Conflicts:,PlayStation P,2,"Flight, Action"
Cryostasis: Sl,PC,6,Shooter
Dynasty War,Xbox 360,5.6,Action
Hannah Mon,Nintendo DS,4,Music
Dynasty War,PlayStation 3,5.6,Action
Zeno Clash,PC,8.4,Action
Dynasty War,PlayStation 2,4.9,Action
Assassin's Cr,iPhone,8.3,Action
Demigod (Co,PC,7.5,"Strategy, RPG"
Silent Scope,iPhone,3.5,Shooter
And Yet It M,PC,8.4,Platformer
Excitebots: T,Wii,8.4,Racing
Wonder Boy I,Wii,4,Platformer
Cooking Star,iPhone,7,Simulation
Dr. Mario Ex,Nintendo DSi,7.5,Puzzle
KarmaStar,iPhone,8,Strategy
Wonder Boy I,Genesis,4,Platformer
Crystal Defe,Wii,5.8,Strategy
Lode Runner,Xbox 360,8,"Puzzle, Action"
Guilty Gear X,PlayStation 2,7.8,Fighting
Guilty Gear X,PlayStation P,7.6,Fighting
Demigod,PC,7.5,"Strategy, RPG"
Mini Golf 99,iPhone,7.5,Sports
2XL Supercro,iPhone,7.5,Racing
The Dark Spir,Nintendo DS,8,Adventure
Bomberman ',Wii,8,Action
Bomberman ',TurboGrafx-1,8,Action
Elven Legacy,PC,7.7,Strategy
Jewel Master,Wii,6,Strategy
Ski-Doo Snow,Xbox 360,6.4,Racing
Flock,PC,6.9,"Puzzle, Action"
Samurai Shod,Wii,7.1,Fighting
OutRun Onli,Xbox 360,8,Racing
Wild West Pi,iPhone,5.5,Pinball
Company of,PC,7,Strategy
Guitar Hero:,PlayStation 2,8.5,Music
Major Minor',Wii,5,Music
Gaplus,Arcade,4.5,Shooter
Tornado Man,iPhone,8.9,Action
Runes of Ma,PC,7.9,RPG
Gaplus (Arca,Wii,4.5,Shooter
Rag Doll Kun,PlayStation 3,5.9,Fighting
Wheelman ,PC,4.8,Action
Dokapon Jour,Nintendo DS,6.5,RPG
Dance Dance,Wii,5.9,Music
Six Flags Fun,Wii,4.5,Action
Professor Hei,Nintendo DS,5.9,Puzzle
Hannah Mon,Xbox 360,2.3,Music
Hannah Mon,Wii,2,Music
Pitfall: The M,Genesis,5,Platformer
Mixed Messa,Nintendo DSi,8,Party
Hysteria Proj,iPhone,7.2,Adventure
